jour,mois,an,Num_Acc,hrmn,lum,agg,int,atm,col,com,lat,long,dep,count
21,3,18,26435803949433,172465,235,218,252,164.0,555.0,26157,588415439.0,73266007.0,78061,131
21,4,18,40965405529142,282899,346,322,425,262.0,827.0,41609,919847067.0,84980624.0,118394,203
21,5,18,23610603083421,172162,193,180,174,139.0,503.0,23193,519427584.0,63759685.0,67945,117
21,6,18,43387005859039,312513,295,360,427,264.0,867.0,39262,992014555.0,66707692.0,119188,215
21,7,18,29866403853076,202200,242,226,290,160.0,627.0,28689,669329311.0,61002092.0,76887,148
21,8,18,27444803797909,185858,204,219,304,157.0,556.0,26182,565944252.0,64774662.0,79514,136
21,9,18,48432007351990,322462,420,406,513,390.0,1023.0,48487,1069295864.0,105207064.0,140200,240
21,10,18,31884404356286,208179,331,232,277,224.0,733.0,30722,677152557.0,80313879.0,88912,158
21,11,18,29462803972429,201609,341,245,302,323.0,611.0,27142,626591776.0,59562491.0,79376,146
21,12,18,52064407623212,360865,743,421,528,553.0,1096.0,51195,1137962191.0,111107649.0,148661,258
22,1,18,31077205164400,200561,362,263,273,339.0,657.0,27360,703625087.0,55836275.0,97059,154
22,2,18,25023203420848,172450,225,199,235,210.0,482.0,22525,561301308.0,43979985.0,73166,124
22,3,18,24821403698657,155350,208,209,217,159.0,491.0,22501,549811802.0,60583322.0,70668,123
22,4,18,33902404604113,228700,297,266,328,223.0,736.0,31846,757503545.0,71387555.0,96716,168
22,5,18,39149205754333,279649,280,333,390,307.0,794.0,32988,882990298.0,85157880.0,115321,194
22,6,18,50046407697342,346100,388,400,485,291.0,980.0,46277,1132589560.0,77296199.0,147281,248
22,7,18,27646603220993,166931,277,207,232,190.0,541.0,30174,612998991.0,59831041.0,70972,137
22,8,18,22399803273913,171743,199,182,220,129.0,450.0,20864,494706482.0,51779182.0,65873,111
22,9,18,34507804854268,243471,347,288,361,260.0,782.0,35095,757312412.0,64204698.0,99196,171
22,10,18,33297004736759,217861,296,286,304,246.0,680.0,27699,707798171.0,91150669.0,97299,165
22,11,18,29664604880389,198905,379,255,298,362.0,616.0,25854,635455577.0,65680211.0,95804,147
22,12,18,32288004924725,206320,486,263,284,304.0,685.0,31286,688941756.0,103075043.0,100727,160
23,1,18,27243003776569,187707,344,232,268,286.0,540.0,25176,577500647.0,48839846.0,75742,135
23,2,18,31480804396208,218176,326,257,285,197.0,641.0,33122,699227585.0,58618747.0,88303,156
23,3,18,32288004468789,216273,290,255,293,309.0,664.0,27200,714589095.0,68087091.0,87596,160
23,4,18,27041203766195,194119,192,229,265,147.0,567.0,26213,617882154.0,39249759.0,75393,134
23,5,18,32086204413035,216135,197,271,365,202.0,633.0,28923,728432090.0,52585861.0,87647,159
23,6,18,41369005480887,283685,356,331,398,263.0,855.0,42334,911008480.0,96779992.0,115072,205
23,7,18,28453804052495,192869,213,229,339,178.0,578.0,25459,635421592.0,62750275.0,80177,141
