catv,grav,secu,Num_Acc,senc,occutc,obs,obsm,choc,manv,place,catu,sexe,trajet,locp,actp,etatp,an_nais,count
2,2,2.0,403600027726,4.0,0,0.0,4.0,9.0,15.0,2.0,2,2,5.0,0.0,0.0,0.0,3953.0,2
2,2,3.0,201800056628,1.0,0,4.0,2.0,1.0,18.0,1.0,1,1,0.0,0.0,0.0,0.0,1987.0,1
2,2,21.0,21592602005689,104.0,0,269.0,139.0,210.0,520.0,113.0,113,118,414.0,0.0,0.0,0.0,212575.0,107
2,2,22.0,2219800375907,12.0,0,30.0,18.0,14.0,32.0,12.0,12,11,40.0,0.0,0.0,0.0,21871.0,11
2,2,23.0,201800005861,0.0,0,0.0,0.0,0.0,1.0,1.0,1,2,5.0,0.0,0.0,0.0,1951.0,1
2,2,91.0,201800001379,1.0,0,0.0,2.0,4.0,1.0,1.0,1,1,5.0,0.0,0.0,0.0,1985.0,1
2,3,2.0,8879201111022,32.0,0,36.0,40.0,79.0,206.0,32.0,91,55,176.0,44.0,67.0,35.0,87535.0,44
2,3,3.0,5650400781517,22.0,0,29.0,31.0,56.0,157.0,22.0,52,34,82.0,34.0,31.0,14.0,55542.0,28
2,3,11.0,1009000193428,7.0,0,0.0,10.0,21.0,17.0,9.0,7,8,15.0,0.0,0.0,0.0,9937.0,5
2,3,12.0,201800049214,2.0,0,0.0,2.0,4.0,0.0,2.0,2,1,0.0,0.0,0.0,0.0,2000.0,1
2,3,21.0,304718031389535,1478.0,0,2223.0,2258.0,3732.0,7734.0,1654.0,1653,1697,5458.0,0.0,0.0,0.0,3007049.0,1510
2,3,22.0,8677401089422,35.0,0,138.0,40.0,91.0,205.0,53.0,51,47,181.0,0.0,0.0,0.0,85621.0,43
2,3,23.0,10090001383284,52.0,0,93.0,57.0,95.0,272.0,59.0,59,56,179.0,0.0,0.0,0.0,97633.0,50
2,3,42.0,605400028638,2.0,0,12.0,3.0,3.0,3.0,0.0,9,4,14.0,4.0,12.0,3.0,5920.0,3
2,3,91.0,1009000059261,3.0,0,14.0,2.0,6.0,22.0,6.0,6,7,17.0,0.0,0.0,0.0,10001.0,5
2,3,92.0,201800039638,1.0,0,0.0,1.0,1.0,19.0,1.0,1,1,9.0,0.0,0.0,0.0,2001.0,1
2,3,93.0,1210800126129,9.0,0,16.0,8.0,5.0,30.0,8.0,8,7,20.0,0.0,0.0,0.0,11945.0,6
2,4,2.0,5852200663346,19.0,0,23.0,31.0,61.0,103.0,22.0,64,40,123.0,26.0,45.0,21.0,57760.0,29
2,4,3.0,14731402102827,64.0,0,10.0,91.0,130.0,433.0,29.0,176,106,272.0,140.0,153.0,64.0,145290.0,73
2,4,11.0,20785402525190,109.0,0,0.0,216.0,212.0,592.0,164.0,125,153,402.0,0.0,0.0,0.0,204018.0,103
2,4,13.0,403600054189,2.0,0,0.0,2.0,4.0,1.0,2.0,2,3,10.0,0.0,0.0,0.0,3965.0,2
2,4,21.0,470194073159221,2364.0,0,1447.0,3855.0,6431.0,12829.0,2652.0,2611,2762,7824.0,0.0,0.0,0.0,4640628.0,2330
2,4,22.0,8475601515151,39.0,0,46.0,62.0,133.0,236.0,61.0,52,46,155.0,0.0,0.0,0.0,83710.0,42
2,4,23.0,17960203338394,100.0,0,91.0,147.0,147.0,568.0,107.0,104,105,296.0,0.0,0.0,0.0,176877.0,89
2,4,31.0,403600015664,3.0,0,0.0,4.0,9.0,1.0,8.0,4,3,11.0,0.0,0.0,0.0,4028.0,2
2,4,41.0,403600075946,1.0,0,0.0,3.0,3.0,12.0,2.0,2,2,10.0,0.0,0.0,0.0,3970.0,2
2,4,42.0,201800015336,1.0,0,0.0,1.0,3.0,1.0,0.0,3,2,5.0,1.0,1.0,3.0,1960.0,1
2,4,91.0,1412600213634,5.0,0,0.0,16.0,20.0,45.0,6.0,9,8,24.0,3.0,3.0,2.0,13889.0,7
